RegionID,CentroidX,CentroidY,CentroidZ,Volume
406,388.3,254.36,177.09,16657
407,477.93,197.58,182.99,104881
408,487.41,393.54,161.68,12314
409,507.2,128.67,205.03,50223
411,434.36,338.28,149.41,36946
412,408.96,229.87,76.6,38821
413,350.31,257.49,120.58,1169
414,341.38,277.2,165.79,3680
415,448.73,175.77,177.58,153837
416,485.33,386.18,160.26,9044
418,429.36,360.31,155.5,21408
419,480.79,345.01,191.89,14890
421,524.63,111.23,205,5639
422,401.58,247.88,180.3,12977
423,441.18,161.06,166.12,38838
424,488.08,373.52,163.89,10521
425,480.67,117.37,215.01,37668
426,445.54,322.88,163.38,21951
427,546.48,202.11,198.35,60274
429,416.06,320.99,272.81,19501
430,350.26,95.09,182.86,42194
431,441.8,170.39,169.52,9004
432,361.5,353.77,134,52
433,409.77,73.95,187.12,26113
434,361.16,65.04,187.09,43464
435,420.42,344.28,165.5,4982
437,418.65,318.36,261.6,87272
438,450.87,154.58,165.31,10375
439,332.35,310.29,141.44,627
440,399.4,207.59,83,14880
441,405.67,94.26,186.62,6547
442,352.36,59.83,185.58,29468
444,346.06,237.55,153.21,75268
445,419.01,323.1,243.34,31067
446,445.09,160.56,165.96,6917
447,373.18,315.46,147.5,309
448,401.66,229.11,71.45,19010
450,468.1,95.98,120.16,35685
451,493.14,355.6,162.86,12596
452,330.15,319.45,116.05,7962
453,479.94,146.37,131.3,2260507
454,431.54,159.99,164.45,12542
455,357.11,311.29,146.55,1579
456,530.8,182.34,197.51,476
457,457.19,93.79,199.64,725071
458,408.55,379.11,101.83,58373
459,350.31,257.49,120.58,1169
460,370.7,218.64,224.68,4199
461,427.85,122.66,153.61,13191
462,362.67,314.67,219.6,332962
463,446.48,217.32,171.92,299710
464,342.96,318.63,144.5,292
465,404.72,373.97,102.96,54730
467,347.54,337.1,158.1,175388
468,502.76,325.48,200.46,944
469,420.9,104.83,206.47,908
470,403.87,301.47,165.48,12561
471,427.8,160.64,164.68,4168
472,437.44,325.32,163.27,9481
473,410.55,371.36,105.93,44764
475,431.61,221.65,187.27,36170
476,381.13,218.78,76.78,247406
477,426.04,271.22,122.69,2141755
478,407.82,129.73,130.96,55043
479,440.9,209.68,172.06,18574
480,449.97,323.18,162.92,5974
481,388.22,371.25,100.49,11261
483,335.96,191.59,154.29,12125
484,331.18,203.13,72.48,10880
485,443.78,241.98,126.31,1292245
486,448.53,215.61,169.54,106854
487,453.4,319.05,163.95,6496
488,377.79,195.53,87.49,47
489,352.33,306.35,103.58,1846
491,339.43,338.83,178.73,23076
492,381.13,218.78,76.78,247406
493,398.83,342.11,102.55,436235
494,371.35,156.89,188.34,26262
495,442.19,223.8,171.46,89536
496,331.24,247.29,89.07,4028
497,457.19,93.79,199.64,725071
498,365.65,300.27,117.09,16248
500,395.5,129.4,100.51,1205393
501,419.97,85.92,212.64,6814
502,465.49,224.2,195.07,299552
503,371.84,177.19,188.3,51206
504,450.79,217.08,175.93,80578
505,353.74,308.6,123.55,2436
506,350.31,257.49,120.58,1169
507,373.32,243.78,45.78,805686
508,503.43,321.08,200.5,780
509,419.52,141.8,189.08,82502
510,405.28,143.39,130.89,12129
511,344.84,168.43,189.67,12935
512,423.51,198.57,250.29,2832949
513,374,321.75,117.75,1112
515,343.3,355.32,126.64,12623
516,381.13,218.78,76.78,247406
517,514.67,340.78,184.8,59427
518,483.29,255.52,197.35,217047
519,403.9,223.47,250.99,76267
520,531.29,210.95,164.81,27049
521,359.75,325.68,122.9,3617
523,350.47,346.89,123.54,44904
524,335.01,211.72,76.15,4961
525,344.65,322.93,175.69,13468
526,490.47,263.5,215.07,39197
527,557.13,132.8,175.59,17549
528,425.41,195.17,250.39,2352899
529,368.61,338.95,126.62,4202
531,337.07,175.86,176.56,4962
532,459.12,69.34,176.65,28395
533,412.65,91.07,213.76,71401
534,399.42,265.14,226.67,7802
535,347.42,251.43,88.34,17477
536,462.38,312.29,148.62,65325
537,381.5,296.23,119.68,14291
538,350.31,257.49,120.58,1169
539,376.11,233.43,195.51,266298
540,570.63,259.4,177.97,16052
541,546.38,200.03,186.6,209481
542,343.07,93.06,183.34,51134
543,486.94,246.77,215.19,40003
544,465.2,319.85,148.23,26056
545,363.83,69.89,186.38,156032
546,387.2,288.06,119.63,797
548,362,231.24,167.74,46
549,383.93,236.14,157.86,998434
550,489.43,245.14,214.13,150679
551,474.64,296.18,155.27,10304
552,362.67,314.67,219.6,332962
554,380.88,268.46,119.77,3363
555,376.11,233.43,195.51,266298
556,346.71,224.27,86.72,27381
557,354.54,353.47,171.7,2425
558,531.85,186.83,107.62,11008
559,455.4,311.21,146.6,28965
560,446.35,272.38,232.85,2541
561,457.19,93.79,199.64,725071
562,383.69,283.16,123.26,2591
564,332.91,285.17,110.28,29904
565,412.99,92.32,213.04,16072
566,514.67,340.78,184.8,59427
567,444.98,209.9,136.45,14433929
568,370.97,329.63,251.6,762162
569,365.04,265.64,121.88,226
571,335.55,263.75,142.48,76328
572,341.69,133.74,115.47,263656
573,509.91,125.37,205.26,5549
574,343.37,330.54,207.22,39054
575,369.45,212.37,156.96,12299
576,379.35,342.44,233.44,657
577,457.26,118.74,123.69,37065
578,364.04,290.61,127.64,21368
580,426.24,215.48,198.57,5205
581,337.69,221.88,128.52,11792
582,341.09,197.6,72.81,17228
583,474.37,257.84,112.86,54122
584,470.3,372.45,164.83,56374
585,374.08,308.79,129.31,15312
587,335.36,224.35,187.41,4183
588,328.92,139.1,122.07,41655
589,346.29,282.71,83.5,80201
590,366.25,96.82,184.03,40593
591,331.55,263.65,198.45,7231
592,463.13,356.11,176.82,60413
593,457.44,68.53,203.39,45771
594,382.12,302.1,127.95,2505
596,358.52,351.99,109.37,45137
597,346.29,282.71,83.5,80201
598,522.83,209.8,166.81,8019
599,334.55,258.56,153.3,18857
600,547.67,138.69,174.6,39985
601,491.43,125.25,188.66,18727
602,373.73,250.78,127.13,1654
604,337.37,276.08,230.64,6668
605,346.29,282.71,83.5,80201
606,344.8,94.14,181.89,20436
607,452.78,294.18,237.76,77841
608,386.61,237.35,87.69,17683
609,332.35,247.27,168.99,2703
610,365.08,70.83,186.02,49486
612,417.23,271.16,211.96,47941
613,502.76,133.95,205.08,14085
614,374.97,374.77,153.21,22193
615,367.1,206.82,197.32,1082192
616,388.52,206.27,220.82,15084
617,351.1,225.57,154.41,9371
619,433.23,375.32,138.5,21737
620,352.64,191.9,73.93,14263
621,400.52,294.86,225.72,26850
622,365.26,97.39,176.07,3934
623,420.65,278.38,123,2611527
625,449.18,135.35,121.11,92542
626,357.76,226.41,152.73,20016
628,386.23,169.36,183.16,8051
629,380.81,256.19,151.07,54041
630,406.37,219.08,79.78,29763
631,462.93,368.62,164.7,147386
632,420.98,199.23,179.29,73483
633,350.31,257.49,120.58,1169
634,354.14,202.52,176.39,13545
635,461.36,88.84,177.27,17914
636,341.31,233.59,151.85,24488
637,393.57,253.73,156.7,207455
638,475.94,245.67,104.67,25359
639,448.42,386.41,140.5,30580
640,370.97,329.63,251.6,762162
641,350.31,257.49,120.58,1169
642,357.26,371.47,216.06,10993
643,562.89,169.45,197.38,2893
644,395.5,129.4,100.51,1205393
645,366.06,170.2,251.26,927367
646,354.9,253.33,88.44,5669
647,466.57,364,171.03,116787
648,406.29,135.44,104.4,205310
649,486.57,129.99,187.81,6171
651,364.68,292.26,263.05,29999
652,340.97,312.6,139.94,1191
653,345.62,291,235.44,806
654,508.31,196.41,107.88,10517
655,470.3,372.45,164.83,56374
656,378.9,113.02,90.29,102032
657,493.37,155.98,103,41194
658,350.31,257.49,120.58,1169
659,358.98,290.98,266.8,551
660,338.6,318.1,142,125
661,394.43,367.32,237.96,33340
662,458.52,241,102.76,4568
663,463.13,356.11,176.82,60413
664,493.09,229.54,216.48,34203
665,350.31,257.49,120.58,1169
666,335.32,288.7,271.32,1790
667,373.38,169.77,61.57,7042
668,342.91,332.43,155.12,14048
669,457.19,93.79,199.64,725071
670,447.05,73.14,153.56,78280
671,378.2,42.92,193.57,8605
672,443.78,241.98,126.31,1292245
674,343.77,281.68,265.15,1020
675,438.01,248.48,92.96,6684
676,339.65,340.52,159.27,5008
677,538.29,253.88,130.97,98906
678,539.17,146.05,174.78,15949
679,332.93,289.27,208.69,28665
680,375.85,197.14,87.49,118
682,374.02,293.16,263.88,12073
683,453.35,96.6,177.17,60247
684,346.16,351.68,160.5,6037
685,364.41,281.82,156.1,33033
686,451.83,180.87,111.43,35072
687,353.03,92.79,182.09,74054
688,450.36,194.77,139.42,11822402
689,368.09,374.72,121.76,1220
691,362.36,292.73,261.07,14565
692,544.59,255.61,176.13,21851
693,351.45,367.64,153.45,23778
694,471.62,278.59,93.32,21316
695,449.17,190.05,139.26,11368384
696,569.64,166.97,197.43,1293
698,422.75,292.68,91.27,2179976
699,380.13,196.03,87.48,29
700,363.46,362.73,139.12,13029
701,380.37,267.91,245.24,126614
702,494.43,202.45,107.5,23801
703,480.71,312.65,143.09,388166
704,491.04,287.98,96.43,10122
705,350.31,257.49,120.58,1169
706,348.15,164.9,176.22,4048
707,330.04,213.37,91.9,11993
708,356.92,341.63,138.35,23273
709,407.41,244.93,159.39,120381
710,350.31,257.49,120.58,1169
711,370.58,277.31,268.87,7755
712,491.89,241.19,213.02,4476
714,381.13,218.78,76.78,247406
715,543.91,279.87,201.34,42094
716,357.1,346.85,139.6,43707
718,418.41,246.66,157.14,48168
719,449.23,166.47,131.65,5522
